FG,Length,Weight,Mature,alfa,beta,AgeClass,,,,,,,
LBF,101.5105356399,,TRUE,0.00023791,3.89821853,3,,,,,,,
LPF,16.8000559021,,FALSE,0.06825499,2.50292955,4,,,,,,,
LPF,44.6180549374,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,58.1585287242,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,64.7493848867,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,67.9574989924,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,69.5190557708,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,70.2791470555,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,70.649123203,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,70.8292099275,,TRUE,0.06825499,2.50292955,4,,,,,,,
LPF,70.9168675469,,TRUE,0.06825499,2.50292955,4,,,,,,,
SBF,18.0067981676,,FALSE,1.57860495,1.7732288,2,,,,,,,
SBF,22.0100449672,,FALSE,1.57860495,1.7732288,2,,,,,,,
SBF,26.0132917668,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,30.9625132707,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,35.7414267584,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,41.6611832223,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,45.0540466199,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,52.4377043212,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,56.6995050492,,TRUE,1.57860495,1.7732288,2,,,,,,,
SBF,60.9613057772,,TRUE,1.57860495,1.7732288,2,,,,,,,
SPF,9.1699261861,,FALSE,0.00716116,3.1431608,1,,,,,,,
SPF,19.6582999564,,FALSE,0.00716116,3.1431608,1,,,,,,,
SPF,28.8313141869,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,35.2311090541,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,39.6960944247,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,42.8112090141,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,44.9845507161,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,46.50083977,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,47.5587187464,,TRUE,0.00716116,3.1431608,1,,,,,,,
SPF,48.2967758641,,TRUE,0.00716116,3.1431608,1,,,,,,,
VID,58.0152727811,,FALSE,0.00523585,3.1082155,2,,,,,,,
VID,66.739600399,,TRUE,0.00523585,3.1082155,2,,,,,,,
VID,77.6363624757,,TRUE,0.00523585,3.1082155,2,,,,,,,
GCR,2.275,,FALSE,0.53179259,2.84013419,4,,,,,,,
GCR,4.15,,FALSE,0.53179259,2.84013419,4,,,,,,,
GCR,6,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,7.8,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,9.5,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,11,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,12.2,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,13.1,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,14,,TRUE,0.53179259,2.84013419,4,,,,,,,
GCR,14.75,,TRUE,0.53179259,2.84013419,4,,,,,,,
SPL,7.2702244214,,FALSE,0.96225457,2.71901358,4,,,,,,,
SPL,7.962480701,,FALSE,0.96225457,2.71901358,4,,,,,,,
SPL,8.6547,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,9.347,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,10.146,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,10.7754,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,11.3915,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,11.9081,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,12.4248,,TRUE,0.96225457,2.71901358,4,,,,,,,
SPL,12.9414,,TRUE,0.96225457,2.71901358,4,,,,,,,
ORO,4.25,,FALSE,0.0445,2.908,10,,,,,,,
ORO,23.51,,FALSE,0.0445,2.908,10,,,,,,,
ORO,35.03,,FALSE,0.0445,2.908,10,,,,,,,
ORO,41.91,,FALSE,0.0445,2.908,10,,,,,,,
ORO,46.02,,TRUE,0.0445,2.908,10,,,,,,,
ORO,48.48,,TRUE,0.0445,2.908,10,,,,,,,
ORO,49.95,,TRUE,0.0445,2.908,10,,,,,,,
ORO,50.83,,TRUE,0.0445,2.908,10,,,,,,,
ORO,51.35,,TRUE,0.0445,2.908,10,,,,,,,
ORO,51.66,,TRUE,0.0445,2.908,10,,,,,,,
ALF,17.86,,FALSE,0.048,2.837,2,,,,,,,
ALF,25.58,,FALSE,0.048,2.837,2,,,,,,,
ALF,31.98,,TRUE,0.048,2.837,2,,,,,,,
ALF,37.3,,TRUE,0.048,2.837,2,,,,,,,
ALF,41.72,,TRUE,0.048,2.837,2,,,,,,,
ALF,45.39,,TRUE,0.048,2.837,2,,,,,,,
ALF,48.44,,TRUE,0.048,2.837,2,,,,,,,
ALF,50.97,,TRUE,0.048,2.837,2,,,,,,,
ALF,53.08,,TRUE,0.048,2.837,2,,,,,,,
ALF,54.82,,TRUE,0.048,2.837,2,,,,,,,
OTA,80.7289823206,31597.1596288238,FALSE,3.88353881,2.0727435,3,,,,,,,
OTA,94.8376041106,47966.7457515231,FALSE,3.88353881,2.0727435,3,,,,,,,
OTA,105.5006710738,61858.6206929332,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,113.5596437186,72712.7657153225,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,119.6504842164,80789.508672321,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,124.2538424364,86619.9660929257,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,127.7329857353,90747.7530649244,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,130.3624656747,93633.1101929934,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,132.3497838614,95633.0300753431,TRUE,3.88353881,2.0727435,3,,,,,,,
OTA,133.851766636,97011.4157712025,TRUE,3.88353881,2.0727435,3,,,,,,,
CHO,26.8848895056,,FALSE,0.0021,3.176,3,,,,,,,
CHO,48.0332926324,,FALSE,0.0021,3.176,3,,,,,,,
CHO,64.669215749,,TRUE,0.0021,3.176,3,,,,,,,
CHO,77.7554963671,,TRUE,0.0021,3.176,3,,,,,,,
CHO,88.0495292991,,TRUE,0.0021,3.176,3,,,,,,,
CHO,96.1471024061,,TRUE,0.0021,3.176,3,,,,,,,
CHO,102.516879019,,TRUE,0.0021,3.176,3,,,,,,,
CHO,107.5275227716,,TRUE,0.0021,3.176,3,,,,,,,
CHO,111.4690347492,,TRUE,0.0021,3.176,3,,,,,,,
CHO,114.5695378855,,TRUE,0.0021,3.176,3,,,,,,,
DOL,40.7433286918,,FALSE,0.01787816,2.92615017,5,,,,,,,
DOL,73.7692290578,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,100.5395036034,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,122.2390664104,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,139.8283901662,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,154.0860188999,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,165.6430281363,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,175.0109577539,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,182.6044539193,,TRUE,0.01787816,2.92615017,5,,,,,,,
DOL,188.7596222828,,TRUE,0.01787816,2.92615017,5,,,,,,,
BIR,8.1571161115,10.8552524646,FALSE,0.02,3,1,,,,,,,
BIR,14.8355979284,65.3048084011,TRUE,0.02,3,1,,,,,,,
BIR,20.3034763758,167.394509502,TRUE,0.02,3,1,,,,,,,
BIR,24.7801966147,304.3296309549,TRUE,0.02,3,1,,,,,,,
BIR,28.4454251473,460.3278843909,TRUE,0.02,3,1,,,,,,,
BIR,31.446260464,621.9235718197,TRUE,0.02,3,1,,,,,,,
BIR,33.9031366226,779.3806782973,TRUE,0.02,3,1,,,,,,,
BIR,35.9146566902,926.4994241191,TRUE,0.02,3,1,,,,,,,
BIR,37.56155003,1059.8893123611,TRUE,0.02,3,1,,,,,,,
BIR,38.9099122544,1178.177568686,TRUE,0.02,3,1,,,,,,,
MPF,7.2862309311,,FALSE,0.022,3.476,1,,,,,,,
MPF,8.0322609666,,TRUE,0.022,3.476,1,,,,,,,
MPF,8.155578902,,TRUE,0.022,3.476,1,,,,,,,
MPF,8.1759632197,,TRUE,0.022,3.476,1,,,,,,,
MPF,8.1793327247,,TRUE,0.022,3.476,1,,,,,,,
MPF,8.1798897001,,TRUE,0.022,3.476,1,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,    
